CASE_UUID,FILE_UUID,FILE_NAME,EXPERIMENTAL_STRATEGY,SAMPLE_UUID
be5254df-ebcf-4a63-9f9f-4a73b7a8d9ed,cdbf4be9-215e-488b-b51a-9123d90a4277,0e6e87b7-998d-4f8f-8593-82658ece876c.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,00143987-7621-4a16-9192-703307374583
be5254df-ebcf-4a63-9f9f-4a73b7a8d9ed,c43cc26b-5077-4759-86ad-2a4bca167060,TCGA-VF-A8AD-01A-01-TS1.D9FABDC1-3C03-412F-A983-EE68730FFFA7.svs,Tissue Slide,00143987-7621-4a16-9192-703307374583
b3264748-947a-43aa-b227-b294fbcc8447,4fdb836e-df0e-4ebe-8bab-464ce1723b50,TCGA-BH-A203-01A-01-TSA.c83f057a-ef0b-48fc-b208-0aea3646af34.svs,Tissue Slide,002997ef-3b93-443a-80a3-bae63e129d99
b3264748-947a-43aa-b227-b294fbcc8447,4bf6ebc1-575d-49e4-9f66-068b537373c0,767425eb-9fa2-45bc-a3ad-ca8dbafd373f.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,002997ef-3b93-443a-80a3-bae63e129d99
d3e93d76-6565-454a-a085-4492024350e9,1801b634-32ea-4fd8-b4d5-dd4cda4ceac5,TCGA-DI-A1NO-01A-03-TSC.6555461b-cb50-4f06-a64a-49f6ba9fcccb.svs,Tissue Slide,002a3a28-71c7-4a8c-960a-14a239ffb433
d3e93d76-6565-454a-a085-4492024350e9,fec6468a-7810-4381-a1ff-e79898f9d9a1,460a0ee4-9f91-46ce-9121-fdbb30efa9cc.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,002a3a28-71c7-4a8c-960a-14a239ffb433
ddcc73bf-b10f-4fab-96d4-3077947fcd2d,c638ce0e-6c64-4178-b28e-eaf441e57efa,TCGA-IN-AB1V-01A-02-TS2.30F85DFC-24A2-44F7-A0CA-1F37A958295B.svs,Tissue Slide,0031b3da-6552-4547-846e-51c6d962e142
ddcc73bf-b10f-4fab-96d4-3077947fcd2d,bce6feaf-ee45-428c-b680-16760f02683f,129e4c47-a271-486e-82ec-2e4449609b75.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,0031b3da-6552-4547-846e-51c6d962e142
919e9d37-3c44-4d15-a246-b7af1c13c1b8,3d0dc28d-d691-4334-a4fd-30a0690dd6d3,TCGA-MH-A857-01A-01-TS1.AC52D816-F777-443D-A676-47DECAB82AB9.svs,Tissue Slide,005e785d-ca6b-4230-b90e-de5d9e3049ef
919e9d37-3c44-4d15-a246-b7af1c13c1b8,5ea4d90b-cdc6-4996-9f7a-2ab701846de4,572fe505-c7fd-47fb-ac0c-2e2195ad8336.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,005e785d-ca6b-4230-b90e-de5d9e3049ef
b533e555-90cf-4657-80c6-15b67da8ad26,05288433-69ae-4edb-9a1b-529bd68ac4fa,TCGA-V4-A9EI-01A-01-TS1.A23BFC72-8D6A-46B2-88EF-E7ABB8E194E1.svs,Tissue Slide,0077ccb8-615d-4725-95e7-72708732e963
b533e555-90cf-4657-80c6-15b67da8ad26,36999a4f-9ab2-435c-b4f4-c3412e7b68b2,8a851a1b-c39e-4ee2-876a-447ff4b088c4.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,0077ccb8-615d-4725-95e7-72708732e963
183e8d87-3476-46bc-a989-ed4b09809227,ef80e5e4-f05e-4a4f-9291-b04b05414578,7b23135f-ee45-4e6c-98e5-feb0e1f37cf6.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,009db85b-200f-4b6c-a5aa-330f9eba2ae1
183e8d87-3476-46bc-a989-ed4b09809227,54ef4a2d-6c5e-40e0-9cde-a6156697f1ea,TCGA-C5-A8XH-01A-01-TS1.C25D3022-C205-4B5F-83ED-B448B9D30F27.svs,Tissue Slide,009db85b-200f-4b6c-a5aa-330f9eba2ae1
c50d0ef9-1cc7-4bad-b1de-aa866276b977,1b4e32c9-eedc-411a-9b7a-010c06086e79,b569cb66-be76-4b7d-a274-0e9b00aa2d2f.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,00b9379a-616d-4e80-8f00-02fa9b91d620
c50d0ef9-1cc7-4bad-b1de-aa866276b977,9ad955c3-8147-4c2e-8fd3-6b3a97d0f4da,TCGA-2G-AAKH-01A-01-TSA.8DC60003-3CE3-47D8-A0CF-A7BFBDA17D29.svs,Tissue Slide,00b9379a-616d-4e80-8f00-02fa9b91d620
99a61986-7b23-46b5-99a4-efba6bad3766,480876ef-b4d4-47da-989c-0e22895243c8,TCGA-24-2267-01A-01-BS1.d7bddc1a-9847-4aa6-94eb-c21e45e820c0.svs,Tissue Slide,00be5ec1-3b0f-4b5a-b116-4efce25d2cc8
99a61986-7b23-46b5-99a4-efba6bad3766,00dc8820-694b-47a2-9410-09971711cbee,04eeb9f5-2fd6-4df3-ade8-cdb8d77f4273.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,00be5ec1-3b0f-4b5a-b116-4efce25d2cc8
a1872011-b928-4189-ac02-e87506c20bca,c53c8ae2-3521-4ba0-bb36-84e55d1242c6,TCGA-A2-A0YC-01A-01-TSA.dfb0f795-b54a-44fd-8ddd-105ac7c51d35.svs,Tissue Slide,00d38274-8ed5-46af-9a69-91d968a050ab
a1872011-b928-4189-ac02-e87506c20bca,4c75e72b-db9f-425b-9f14-946ee801071e,b3d432d6-0b86-4407-98e2-99c1971283a8.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,00d38274-8ed5-46af-9a69-91d968a050ab
a1872011-b928-4189-ac02-e87506c20bca,6e43d6bd-a735-4183-b05c-c913ff37c6a5,TCGA-A2-A0YC-01A-01-MSA.05ee8628-8199-466f-9e26-012186642f25.svs,Tissue Slide,00d38274-8ed5-46af-9a69-91d968a050ab
39a18c44-1990-4f01-a126-a6eda1d4ab1d,f4954cda-900a-4df5-a1a6-f3017ca8d3ec,TCGA-2G-AAG9-01A-01-TS1.1597737A-E17A-47F1-AF2B-9F6A700C2C37.svs,Tissue Slide,00e7ded1-dc9e-4a9c-8c71-22a549aaca31
39a18c44-1990-4f01-a126-a6eda1d4ab1d,0f324af8-6786-4436-9d7f-8639a56b28ae,9b01a65e-7fbf-40df-87a7-7ff03fea0a8e.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,00e7ded1-dc9e-4a9c-8c71-22a549aaca31
49f961af-1126-431d-93cd-18941c1738f3,d3d007c4-c3ca-4228-94f4-98cce9439a06,TCGA-FR-A726-01A-01-TS1.803C9489-BEEC-46E8-AD15-DED70CC115DB.svs,Tissue Slide,010d3625-4234-49a2-8864-a4d3809af628
49f961af-1126-431d-93cd-18941c1738f3,f1c96d98-c614-4a8e-8035-bb3bd0f665f6,be9a8b34-4ecb-4542-8d30-4d5019fd1903.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,010d3625-4234-49a2-8864-a4d3809af628
92c65e5a-3f07-49d9-ab69-46a0eb86ae88,e9458652-4c34-43ee-8680-8cdc65408b25,TCGA-AG-3882-01A-01-BS1.372122e4-cb62-457a-9f58-f9e278d13fad.svs,Tissue Slide,012adc3a-0cef-48e8-b468-7c816afe1de0
92c65e5a-3f07-49d9-ab69-46a0eb86ae88,ee35fc92-bfb2-4542-8786-61a896709de8,002260fb-3015-4876-b8fd-edffd7fc95e8.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,012adc3a-0cef-48e8-b468-7c816afe1de0
92c65e5a-3f07-49d9-ab69-46a0eb86ae88,bd722835-b84c-4632-956e-bcf8d31b84dc,TCGA-AG-3882-01A-01-TS1.e22b87fa-1ba5-41df-a86f-428c9e2b73a9.svs,Tissue Slide,012adc3a-0cef-48e8-b468-7c816afe1de0
825a6fbb-aede-436f-800b-c7f096da0a77,dcf0174e-a94b-4bb7-9fcc-f9b224a5ce0b,f9ba2e2b-4d2b-4653-9270-fc99eaf2f37c.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,013eeabf-611e-4351-b1a3-c3f172f5e081
825a6fbb-aede-436f-800b-c7f096da0a77,bedcd51e-342f-44b7-8f15-938d8b9b9c3b,TCGA-C5-A1M6-01A-01-TSA.198f22cc-bfae-465a-a154-c953e0e33b29.svs,Tissue Slide,013eeabf-611e-4351-b1a3-c3f172f5e081
0a94eecf-4db2-4846-8383-c83ff02e4a9f,36553246-2903-4498-a184-35700719e506,TCGA-D5-6922-01A-01-BS1.f5f8db9a-34a4-487c-980f-08f0ce399624.svs,Tissue Slide,0152ba53-d53b-4ec8-a256-3dcad8e8d2a3
0a94eecf-4db2-4846-8383-c83ff02e4a9f,f4eeef91-4fa4-4995-925c-5cf9821da96c,TCGA-D5-6922-01A-01-TS1.6581ec04-ba19-49b3-8ae8-04b4259a8a53.svs,Tissue Slide,0152ba53-d53b-4ec8-a256-3dcad8e8d2a3
0a94eecf-4db2-4846-8383-c83ff02e4a9f,7fa5c283-ed46-4ac7-afc0-5d609d5bfa5a,a83e78c0-8b1b-4576-aace-4bee1dee5046.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,0152ba53-d53b-4ec8-a256-3dcad8e8d2a3
7b98b829-fdc7-4719-bee9-c83f6154019c,387ccd75-eca4-454d-9861-4f5a03311058,TCGA-FD-A3SS-01A-01-TSA.564C9E0A-9519-4F80-894E-03C1A75A0E94.svs,Tissue Slide,015e6b08-ab3c-4d1d-99e4-77b5e10bd7fc
7b98b829-fdc7-4719-bee9-c83f6154019c,bf98764d-1604-4a14-8e06-1c785a085db9,1c392f31-7efd-41ad-94c2-06fcc47530d2.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,015e6b08-ab3c-4d1d-99e4-77b5e10bd7fc
b6691e3c-ee3f-49a2-8bd4-2086413e5d8d,2150ad61-6d9c-4cbf-abca-3b0c2840d4cb,TCGA-DA-A3F8-06A-01-TSA.7CB74D2E-C197-4CA2-A7B9-E3B630A68359.svs,Tissue Slide,018cf360-90d7-4695-bb9e-ea22d4bf8eda
b6691e3c-ee3f-49a2-8bd4-2086413e5d8d,06b204a2-957c-4378-bfce-d402b242aeb8,bd09bf00-3fb3-41fc-ae4d-4ac68a925a6b.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,018cf360-90d7-4695-bb9e-ea22d4bf8eda
e4be17c8-0855-432c-bb80-28bb24b62f32,a8391733-18a4-4720-9912-d060ef58d745,fddf611e-f586-49e1-9ee8-8ac853accb9e.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,019736e0-3672-4aa7-a00d-891bdd1f7f5c
e4be17c8-0855-432c-bb80-28bb24b62f32,e946bacc-3fbb-4b86-9447-adb029c3b455,TCGA-G4-6309-01A-01-BS1.36d05f6a-4e94-406f-8a9b-653703e4d71d.svs,Tissue Slide,019736e0-3672-4aa7-a00d-891bdd1f7f5c
5f22e050-c172-4f2d-a1f9-6cb749b6ef98,040f858c-85e3-433c-aace-e2a026fe6afc,9eeac5f1-bf93-4ae8-af05-de53e5615bfe.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,019e7aee-73c9-4330-b4d0-493a97d654b0
5f22e050-c172-4f2d-a1f9-6cb749b6ef98,4cc8e537-3479-4738-b8a8-0cb7962d4671,TCGA-ZJ-AAXN-01A-01-TSA.DBBE7777-B156-4C26-BF98-D8F499A59306.svs,Tissue Slide,019e7aee-73c9-4330-b4d0-493a97d654b0
644a88a7-dc56-468a-af5c-60278aab7642,fa6f6b3c-ada5-4d4b-9d7d-370df28a8ebd,TCGA-09-1659-01B-01-BS1.e8c4fbf1-6540-4e8e-b163-58d009066a2e.svs,Tissue Slide,01a6f7cd-10cc-4f33-aa75-b29abd6c2edb
644a88a7-dc56-468a-af5c-60278aab7642,2d1181eb-a08f-4c11-bc9c-494763de6814,bba445df-c6f7-4257-9093-d4ea69db84a3.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,01a6f7cd-10cc-4f33-aa75-b29abd6c2edb
626c1cb7-05f6-4db1-a809-f6fcba2cce8e,738a6da9-21a3-4f77-83f9-576bf9503cfb,c69394a6-a771-4f45-9fa3-850f25c4bd04.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,01ad87ef-128b-4271-8ee3-a8701fb78f2d
626c1cb7-05f6-4db1-a809-f6fcba2cce8e,efb9523f-64ae-41ff-be8f-242ed3acbda2,TCGA-2G-AAGE-01A-02-TS2.15DB6DC1-DF52-433D-8777-E65302578F45.svs,Tissue Slide,01ad87ef-128b-4271-8ee3-a8701fb78f2d
4756acc0-4e96-44d4-b359-04d64dc7eb84,71745596-697d-416b-a8a3-096f858ba317,bc2372c3-b67a-4245-9ba2-83bb9dbc5764.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,01bd30a6-0600-4e53-8ef0-bfb5f09fc88d
4756acc0-4e96-44d4-b359-04d64dc7eb84,ba527418-39b8-432f-a6e3-89cf62248e13,TCGA-ZX-AA5X-01A-01-TS1.5C3DEBEA-4E6D-4DE5-928F-99520791F78D.svs,Tissue Slide,01bd30a6-0600-4e53-8ef0-bfb5f09fc88d
bdfcd747-f6a2-42e2-bc9b-483112205fa8,a4e2f740-30d3-4a7e-b2e4-cb7fa136bd84,ac40bee6-e98c-47fc-94c2-9b1cd0ed6142.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,01c1ad9e-b440-4394-942f-6128cfcb77cf
bdfcd747-f6a2-42e2-bc9b-483112205fa8,9514f887-c3b5-42e3-9eca-36decc11f69a,TCGA-OR-A5JC-01A-01-TS1.85B4F618-A99C-4FAE-AC43-45C593573146.svs,Tissue Slide,01c1ad9e-b440-4394-942f-6128cfcb77cf
