CASE_UUID,FILE_UUID,FILE_NAME,EXPERIMENTAL_STRATEGY
000d566c-96c7-4f1c-b36e-fa2222467983,ac450438-a304-4364-9407-e398ccdbcf66,TCGA-KK-A7B2-01A-01-TSA.3F1E3102-294C-47F4-A1DA-1D0F09ABE9C1.svs,Tissue Slide
000d566c-96c7-4f1c-b36e-fa2222467983,17389e4d-435f-4a2c-b067-d4caa0be0310,TCGA-KK-A7B2-11A-01-TSA.B8D4A146-E56D-4BAB-92C7-0D95E602316E.svs,Tissue Slide
000d566c-96c7-4f1c-b36e-fa2222467983,eb00cbed-63c4-4d47-9b6a-9dde1306b8cd,TCGA-KK-A7B2-01Z-00-DX1.3E779031-6FE4-4BD0-838C-D9ED49E1B9A7.svs,Diagnostic Slide
000d566c-96c7-4f1c-b36e-fa2222467983,719a8f3a-f346-42e3-b03a-7e68a267162c,65c7436d-873e-4988-853c-3868c7333319.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
001944e5-af34-4061-9c09-bb9ea346f6fd,1daf9920-afc4-4cf9-8286-cc52fb7015d3,TCGA-HQ-A5ND-01Z-00-DX1.EDDFB95C-827E-4533-B49A-56612BC4D9DD.svs,Diagnostic Slide
001944e5-af34-4061-9c09-bb9ea346f6fd,3eb51a70-fec9-4f37-9f16-ac74229f68e9,79a4ab3c-e995-48fa-8d0f-1820158df969.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
001944e5-af34-4061-9c09-bb9ea346f6fd,65e10425-c176-4c2a-8372-ba7490ee25fa,TCGA-HQ-A5ND-01A-01-TS1.1E40416D-66D0-41E9-8C24-26234D5D8325.svs,Tissue Slide
001ad307-4ad3-4f1d-b2fc-efc032871c7e,a3492937-5910-4d94-9f0b-f532ff603c62,fb50de6d-b922-41d2-8774-b7351fac4b75.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
001ad307-4ad3-4f1d-b2fc-efc032871c7e,b722badc-340d-40dd-92b9-d272f744e415,TCGA-HT-A614-01A-01-TSA.4D6C2740-F56F-4E18-B50F-D386A13792C8.svs,Tissue Slide
001ad307-4ad3-4f1d-b2fc-efc032871c7e,aadce5a4-ea05-4085-b7c2-b2fb2165aad6,TCGA-HT-A614-01Z-00-DX1.B2D270F0-8C0B-4FBE-B794-3493443E47C5.svs,Diagnostic Slide
0022478c-4dfd-4cbe-a05e-fb20310844e3,9011fb8f-0cc0-443e-bac4-38bf21425dc9,TCGA-B0-5088-01Z-00-DX1.69bb79f8-33cc-4c9c-be63-323e5470fdde.svs,Diagnostic Slide
0022478c-4dfd-4cbe-a05e-fb20310844e3,7f339585-00cd-4320-a8e1-8e03fc73498f,TCGA-B0-5088-11A-01-TS1.481546e6-ba46-4c6a-9998-d7d0e0c84b74.svs,Tissue Slide
0022478c-4dfd-4cbe-a05e-fb20310844e3,52258ebc-d3ba-4795-83c9-6457386fea2b,4ab7d102-f5eb-4922-be66-9b516bebaf0a.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
0022478c-4dfd-4cbe-a05e-fb20310844e3,c1ec19a9-eeca-4afd-961f-9a11e5a1476f,TCGA-B0-5088-01A-01-BS1.9b3e3457-9cc3-4d68-a2a2-0d29e84a4c1d.svs,Tissue Slide
0022478c-4dfd-4cbe-a05e-fb20310844e3,ebce6da8-e675-4212-8e5d-804e998fdc07,TCGA-B0-5088-01A-01-TS1.d6eb9c0d-c866-4473-862c-5fd5f41b499f.svs,Tissue Slide
005a6517-2e5a-4ea3-ab36-531522723607,78c590d2-8d45-492b-9ea2-7ecf410b3d3e,00d52735-8d5a-405b-a26f-52a4f1ab6df8.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
0061e9ef-df6a-414e-af64-c88f8192e2d3,48717c95-c0ca-4bd4-bfea-aa195617fc7f,TCGA-E1-5311-01A-01-TS1.425dc9ad-a64e-4edb-9fea-bfa855842e58.svs,Tissue Slide
0061e9ef-df6a-414e-af64-c88f8192e2d3,2e09b29e-2181-42c5-b73f-04e2b3b7c4a0,7f40dfdd-892f-4dd9-809d-ab6193f252aa.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
0061e9ef-df6a-414e-af64-c88f8192e2d3,cbf4032e-d3e6-4581-b4a8-110de0208d51,TCGA-E1-5311-01A-01-BS1.cb702181-a633-499f-8e21-1c6cfd92dbc4.svs,Tissue Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,d93542f2-5b43-4174-affe-1dc97da6fa30,TCGA-VM-A8CF-01Z-00-DX7.91F19B77-0929-4068-BFFB-FBA10E4F01DB.svs,Diagnostic Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,87107154-cb0e-49b6-b472-97b2da306c42,cd79995e-2eeb-4f13-be04-866f53051b82.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
0073a136-d5f4-4fd6-88f9-711768f2abc6,f65a0390-2d92-4103-a54c-c176541e2b5f,TCGA-VM-A8CF-01Z-00-DX8.4E93F16B-3CC3-4094-9EF2-9B74351AAF95.svs,Diagnostic Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,1aa29a95-5337-4b4f-8a51-e3b71aeb8983,TCGA-VM-A8CF-01Z-00-DX5.90CAA7E9-55BA-41D6-A5D1-280E761B17BC.svs,Diagnostic Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,d23f0bd3-4b10-43be-98f1-1b44064bcf95,TCGA-VM-A8CF-01A-01-TS1.7C7EEE78-F42C-41FC-BF1F-CC310A7C462C.svs,Tissue Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,39236518-53b2-44ba-9c3f-0d0a41b5dbb0,TCGA-VM-A8CF-01Z-00-DX4.AF3112EB-D194-48BD-B31F-5138814578A3.svs,Diagnostic Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,8e6d2ee4-ec71-44bf-9fe5-ec730698ce68,TCGA-VM-A8CF-01Z-00-DX2.9BB80EF8-5600-4BA5-879D-46B8B6D0776D.svs,Diagnostic Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,3c344aa6-fe11-43c0-9c7e-0176f6fdb37a,TCGA-VM-A8CF-01Z-00-DX3.3CED09BD-4062-4573-A075-84461B82F5B4.svs,Diagnostic Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,fe7719e8-b22a-4150-a84b-749ddfe1351d,TCGA-VM-A8CF-01Z-00-DX6.DC99FC24-7290-4702-B5DC-45F3780757B6.svs,Diagnostic Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,0142f559-a65b-4dfa-aad9-cd4f22b86f46,TCGA-VM-A8CF-01Z-00-DX9.704D20F4-2DDD-42FB-8AD6-97C2BCA68C83.svs,Diagnostic Slide
0073a136-d5f4-4fd6-88f9-711768f2abc6,3a046249-9a5d-4074-8b09-d57e0477c00e,TCGA-VM-A8CF-01Z-00-DX1.B02A927B-2E2F-4255-9949-E45813703A7C.svs,Diagnostic Slide
0075437e-ba1a-46be-86d6-9773209a2b5e,03680aea-84a2-4775-bb9c-24f8c5907247,0a4e0b83-7afa-475b-8586-e9e79e31d6d2.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00781a96-4068-427c-a9c5-584d167c3dea,efbb2824-0798-47fd-b5c3-e2fa83d38f20,TCGA-BR-8368-01A-01-BS1.416226c8-7414-47eb-bc9a-00eb2b8dd036.svs,Tissue Slide
00781a96-4068-427c-a9c5-584d167c3dea,eaca674b-01d5-4e82-8dd4-c7b170e36064,5648c645-f206-47c4-b7c8-f5529bccee6e.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
00781a96-4068-427c-a9c5-584d167c3dea,91295e3d-159b-4cee-abff-1fc9a225c36c,TCGA-BR-8368-01Z-00-DX1.b1d32cec-36d6-4ee9-9455-bf0c797a271a.svs,Diagnostic Slide
00781a96-4068-427c-a9c5-584d167c3dea,2a4e6ad9-b9f0-467b-815c-7e6ccf3b6292,TCGA-BR-8368-01A-01-TS1.c54fb61c-339c-4d2b-9f61-6344de78f02f.svs,Tissue Slide
007f9081-5093-4323-b4f8-cd510bf20705,d1a73686-9bf9-4be6-aeb9-a1c2f42826f1,TCGA-G9-6377-01Z-00-DX1.e446e088-404c-4ae7-b2b2-b81057c0c454.svs,Diagnostic Slide
007f9081-5093-4323-b4f8-cd510bf20705,fc2e10e8-4cae-4f93-a2de-65cd25d4f965,TCGA-G9-6377-01A-01-BS1.5cc24d73-153a-48c4-a21d-9c5bdbca505c.svs,Tissue Slide
007f9081-5093-4323-b4f8-cd510bf20705,00be20a3-6ec8-44dd-afac-9085c6a03da9,TCGA-G9-6377-01A-01-TS1.c629ee70-2d88-4672-8088-41cfe6584466.svs,Tissue Slide
007f9081-5093-4323-b4f8-cd510bf20705,20ab8ad5-3846-43f0-b04e-62d6960efec3,54bc3281-1146-4c6c-b08b-44b025799592.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq
