CASE_UUID,FILE_UUID,FILE_NAME,EXPERIMENTAL_STRATEGY,SAMPLE_UUID
05135396-df5c-49db-b34e-f4add5b65a2b,86b7ddd7-1c59-4937-99ec-b30fa9b4f0bd,a622a28b-a3ac-495b-b696-2a11e0e0e2ad.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,8511971e-372e-4dc1-96a9-3fea2298393b
05135396-df5c-49db-b34e-f4add5b65a2b,1f224847-d745-4dc5-9338-4044413e8ec4,2db5e0aa-342e-4766-8725-c1d677fd52b2.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,a28d9c46-4774-4167-8c1e-ee95436c7b2e
0685edd2-ce1c-4e0e-8dda-393139af4223,7806768a-e8c6-48b0-a241-c036c230e78b,341e11ea-c1b6-4d66-999c-76ebb9c8b342.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,dfb7fb86-5f46-4666-a008-395aa0881267
03ab1e9f-4918-404d-b178-3a4fd929c5e8,f0a63361-78bb-4a7f-9d78-31f7b2980ba2,1008e8d8-a93c-4779-80b6-1272322e7c52.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,69f11430-f6f2-46bd-ba02-f09cec02e168
03c143e0-d8a1-4d60-a4a3-df0501fc6b6e,91577462-386f-43eb-88e1-859c1d74763c,6ddc13fe-e8e0-4fb1-88df-c068fe87b5cb.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,a3ac21e2-b92b-4597-a870-8444ddc6b4d6
048549cf-d0a5-4743-a0a1-2004f7cc2b08,778642d9-e4e2-4ae8-a900-b2e663c9d5b9,1c9253df-acb7-492c-aaa8-7718fc778f13.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,2fa19af2-6fa0-4164-a0bb-8524d6085d80
09c2bc35-c21f-4aa4-ac30-0d8db02ad811,f502949f-ca10-4617-a7ee-b8f142f7ec93,3099b2a6-0d46-4404-88b0-a3689b019c38.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,6f8b48ba-ef24-4d33-a0c3-bc900a6c8cd2
0a2a3529-f645-4967-9a58-89ee20b8bb62,d8a94ea1-68a3-43be-8a30-d690541a23aa,acb1bf8e-f597-4f67-b19d-bb737109d9cd.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,9992eeb9-901b-4a32-badc-e9be7c9ba4ba
00b11ca8-8540-4a3d-b602-ec754b00230b,e6f927ef-840f-438a-9559-863cc64f71e0,98447eef-e5af-4bfa-a215-7a1edd601c46.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,e0630a0d-d4aa-4c20-87ea-441ea60e6cfe
01263518-5f7c-49dc-8d7e-84b0c03a6a63,aa89d193-05a1-4f7f-9291-b9cf646656de,e06580e9-0b4a-48f7-9522-d54229aefb2d.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,5d1a5545-6934-41e5-b41b-8e0ee88e6ec6
1d38d356-d126-4476-94d0-26616b9375b1,f1dc7a14-29f1-4fe1-bc67-01e0776d6b40,00a26384-1b1c-4db4-9664-75fb9b3febdb.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,1dbb21be-290d-4c22-a6da-9eb4a0c41edf
1cc30842-4a5b-4f07-b36f-5b84ceaa5662,bb3c5c27-7e75-43cc-8dfd-eab290e2f9da,f58dd06b-ab52-42e5-8603-cde9c4eb7fed.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,b8e8e280-c3ea-4757-bb41-1611c95dc868
13b860c3-8048-4dc9-9eb0-7480bc660837,7d8935d4-33df-4a11-a352-e4e1acc563a4,8f51e90d-f617-4ed2-bbc7-7bcd92d1963d.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,78feb5be-f9d1-4cc6-baba-274136b9487c
15ff4b02-bb69-4d24-8a07-b82f428e428d,0e2a0a41-fc0f-40d0-a0e7-d3eecac3cfd7,80afd34a-fc20-46be-85c5-088951628194.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,8ba93ad6-932d-42c9-8268-ddda46802057
035cb359-eac3-484a-9e88-3ddc739440a3,43820fe3-a899-4e6b-9227-27e32edaefd5,fc70931f-4a97-4538-b055-8ed988ab601c.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,7b420e74-ed0d-416b-8355-9a80a61d6a4b
0772cdbe-8b0d-452b-8df1-bd70d1306363,7c89d4dc-cccb-4833-9731-be8affb76c89,9053485e-19f7-4d2b-b4b6-361d908cc708.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,5a800052-150a-4273-9d5d-0ce48be4fd8a
058dcb78-bed1-40c3-a6c2-a0cc40065531,d898d021-e82b-42e6-b82e-28c187136674,0b36289c-6835-414d-9f86-4cc4a812af87.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,78f8b01e-292f-4131-a3ef-4f9faec7913a
05af737d-89aa-49b6-97b2-28b8ac8bd2cf,584eef35-12c2-4aac-be09-175a9f9c5dfc,2639c1a0-fcae-4abd-aff7-9a8988a26c3c.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,a76bc38a-9eef-4e6c-b021-f940ff5137b8
077506ea-8f11-405d-bb8e-3c9924fe54d0,3844ac53-a01f-41f1-a3f3-d9decf12d024,cff71f50-9056-40dd-b358-0de3e079cad0.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,3e936c86-fbb5-415d-a657-f96fe5565e34
084c6aec-94f7-4090-8f3f-59fa9e89721a,788a4858-c6c6-4a8d-9aef-dbd32d74776b,5cf049e5-d45c-4601-8f67-1fdc0b1918a9.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,12ece355-f1d0-446c-84e9-0aed3e6d29f8
08de63a2-7b76-43c3-80dc-df748b1d81bc,19520ee7-658f-4e16-8a24-291beed9f0af,40a31ab3-71fa-4f7b-a3b1-22e15ff0f358.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,58d073a2-68b8-4f48-ba5e-020258abef71
08740d7f-5a5e-4dfa-bd48-7fbf228a7a28,1737104f-367e-4098-a068-12f8ece492bf,b4a9422c-ed5b-435f-aa13-e8a8f2484e97.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,5b94a116-7e70-41d4-8c6f-2bae44e591aa
04af44fc-c487-4005-b3cb-cb64815824a2,e5016a2d-c839-4962-aa12-16b6c0e1328b,9634f770-bc93-4dfa-949c-98a6da30a102.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,476b6ab5-f108-4280-9d53-7eb75fe17e4a
011b9b2d-ebe5-42bf-9662-d922faccc7a1,89409cf3-e710-47fd-af3c-6f8f0dec7c90,e6bad6ec-c178-4684-99e8-2504781a022b.rna_seq.augmented_star_gene_counts.tsv,RNA-Seq,d6023f30-0d07-4839-98d1-0b22b366cc51
