CASE_UUID,FILE_UUID,FILE_NAME,EXPERIMENTAL_STRATEGY,SAMPLE_UUID
03565036-b6d3-432f-8d9a-7099818e0788,bafa044b-e523-428c-8f23-87fea53662ab,TCGA-AO-A0JC-01Z-00-DX1.C8DD421B-9799-4FE7-9224-5EAC6ED1028E.svs,Diagnostic Slide,563841d4-8d27-4a0e-ab20-8bfae22c46b5
03565036-b6d3-432f-8d9a-7099818e0788,07b3f3c2-2fcd-4498-926f-e29a87d84431,TCGA-AO-A0JC-01A-01-BSA.2a81630f-81ee-4c33-ba26-0e825cfa5f72.svs,Tissue Slide,63aa7e64-3d7c-43e8-87fa-f52855faed80
0685edd2-ce1c-4e0e-8dda-393139af4223,12cfb08c-6db7-49ce-bb8d-aa63f1621246,TCGA-AO-A03U-01B-02-TSB.b659ef3d-7667-4200-8c60-03108efa8c97.svs,Tissue Slide,dfb7fb86-5f46-4666-a008-395aa0881267
05506f4c-e701-4a9d-ae06-97f066aade43,bfd3b4f2-94d8-49f6-99bd-7e8a15542700,TCGA-AN-A0AT-01A-01-BSA.a4fc206e-5f94-4eb5-b7ff-78f2013b2ed1.svs,Tissue Slide,b2905a3f-810b-4e74-af5c-42d513d91746
05506f4c-e701-4a9d-ae06-97f066aade43,5ce0dc94-f35c-4115-8e02-3822c9f7c251,TCGA-AN-A0AT-01A-01-TSA.0147607c-ae77-4449-a80a-1610d2657e82.svs,Tissue Slide,b2905a3f-810b-4e74-af5c-42d513d91746
0741b5db-4405-42ba-b63a-c6ee4f341480,0a3de921-dcda-4282-bf55-224bee9990de,TCGA-BH-A1EY-11A-01-TSA.c9fcac07-57ec-404c-99d4-89345a2d3c66.svs,Tissue Slide,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
0741b5db-4405-42ba-b63a-c6ee4f341480,e03a1853-5f38-4217-ba74-a66bfaee47f4,TCGA-BH-A1EY-11B-01-TSA.362cf244-2088-410b-b92d-6a053daacce5.svs,Tissue Slide,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
0741b5db-4405-42ba-b63a-c6ee4f341480,1aee59c2-b38c-4832-9478-dfc8e203bd08,TCGA-BH-A1EY-11A-02-TSB.758adeeb-d0a0-4b19-9a17-c1265f51fa29.svs,Tissue Slide,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
0741b5db-4405-42ba-b63a-c6ee4f341480,f111051c-28cf-4ddd-a4bf-f22731a40294,TCGA-BH-A1EY-01A-01-TSA.ccf39db7-4c9d-41a0-a961-b2819792db71.svs,Tissue Slide,14193a12-5601-4f0c-90aa-ecd24d6ac41b
0741b5db-4405-42ba-b63a-c6ee4f341480,1f205a8f-14f8-47ec-8ca7-cc89d2042d2e,TCGA-BH-A1EY-11B-02-TSB.446ac410-7fb2-4d02-948f-c4926f4ee3fc.svs,Tissue Slide,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
03ab1e9f-4918-404d-b178-3a4fd929c5e8,da82673f-ad0f-4578-8dbc-473dfa6f36ae,TCGA-C8-A137-01A-01-BSA.8e478f12-19f6-42d7-965e-ed9e973f6916.svs,Tissue Slide,69f11430-f6f2-46bd-ba02-f09cec02e168
0772cdbe-8b0d-452b-8df1-bd70d1306363,b545c7e6-8318-47e1-8ed4-62a5883a1d1c,TCGA-BH-A0W4-01Z-00-DX1.23E017DC-15CB-4838-AC91-CFB11B932AB0.svs,Diagnostic Slide,9b50f61e-db45-44ff-a73e-33ce09802812
0772cdbe-8b0d-452b-8df1-bd70d1306363,05873a87-fb4b-4947-8d6c-e2659d9a1991,TCGA-BH-A0W4-01A-01-BSA.010d7af0-073a-48aa-a257-10583b33c6f7.svs,Tissue Slide,5a800052-150a-4273-9d5d-0ce48be4fd8a
077506ea-8f11-405d-bb8e-3c9924fe54d0,88e15db1-54ef-43e8-91d6-bb41d9fb3cf1,TCGA-AR-A5QN-01Z-00-DX1.BF92AA24-3D44-4FFA-BCC0-CDB934EC3BBC.svs,Diagnostic Slide,cc30011f-491c-48c1-a010-6d3912f0738e
05af737d-89aa-49b6-97b2-28b8ac8bd2cf,623b48d1-a7f4-4230-8713-89576371d92d,TCGA-AC-A62Y-01A-01-TS1.9FC104F6-382F-4E10-A392-10273F7E1F6C.svs,Tissue Slide,a76bc38a-9eef-4e6c-b021-f940ff5137b8
08306ede-e74b-4be9-b768-7fd98647b6ac,6f4cfbbe-7c9e-463e-b2d7-1e1bd7250d06,TCGA-A2-A0T6-01A-01-TSA.a91e20c4-e88b-4f25-a691-1ed38fbca876.svs,Tissue Slide,f05204c8-8301-4117-b826-b5fa194d28d2
08da7c4c-3067-4bcf-9d7a-78566df72e69,c9ad1887-191a-43c7-84be-adf1d41bd00e,TCGA-B6-A0RE-01A-01-TS1.8df18495-1c1f-4114-a5ee-8dece9b410aa.svs,Tissue Slide,270be245-2239-4e96-a917-79cca40868ba
08da7c4c-3067-4bcf-9d7a-78566df72e69,45398b45-a170-4bc5-847a-faed782fca36,TCGA-B6-A0RE-01Z-00-DX1.8933BDB4-EF8D-41FA-9A50-05BB3AB976E5.svs,Diagnostic Slide,fa4ed2c9-c70b-4a5e-ae96-b6a7881bcd6e
084c6aec-94f7-4090-8f3f-59fa9e89721a,1dc0b208-8b02-4b78-ba1a-6051adc9d4e2,TCGA-A2-A0D1-01A-01-MSA.3bc9e5b7-75ab-4eea-8c50-7f67dd11b2c7.svs,Tissue Slide,12ece355-f1d0-446c-84e9-0aed3e6d29f8
08de63a2-7b76-43c3-80dc-df748b1d81bc,0295d2b3-d4d4-4976-b1d4-fd373a1fa6b2,TCGA-A1-A0SQ-01A-02-TSB.aa40d19e-8dcf-4fea-a7f1-4e2edbbd026e.svs,Tissue Slide,58d073a2-68b8-4f48-ba5e-020258abef71
08de63a2-7b76-43c3-80dc-df748b1d81bc,42a5ab65-8a81-4e28-a3c0-65215ea0dffa,TCGA-A1-A0SQ-01A-02-BSB.056c6d49-2f06-4e83-82f9-a465b230b32f.svs,Tissue Slide,58d073a2-68b8-4f48-ba5e-020258abef71
084c6aec-94f7-4090-8f3f-59fa9e89721a,402ab001-3eb4-4b5a-8301-5dc3614048e6,TCGA-A2-A0D1-01A-01-TSA.4cf43b24-cdea-4eb2-8413-677057458810.svs,Tissue Slide,12ece355-f1d0-446c-84e9-0aed3e6d29f8
08740d7f-5a5e-4dfa-bd48-7fbf228a7a28,4483d74b-ce76-42ce-9125-8dfb9435ef9b,TCGA-B6-A0WZ-01A-01-TS1.d42e7513-9258-49ac-82c3-0e1be2af24cc.svs,Tissue Slide,5b94a116-7e70-41d4-8c6f-2bae44e591aa
08740d7f-5a5e-4dfa-bd48-7fbf228a7a28,0c9be1b0-3347-4268-a8a1-29b2e5188248,TCGA-B6-A0WZ-01A-01-BS1.c88de28c-ac1d-43b3-be4b-4f8b51ca5d68.svs,Tissue Slide,5b94a116-7e70-41d4-8c6f-2bae44e591aa
09a5e9fd-d816-4f8c-baa9-0e40ba607b16,553c02d0-2c62-4513-bfc7-daef00be745e,TCGA-LL-A7SZ-01Z-00-DX1.4DAF6421-6A1D-41C8-BFD6-859FE10CB8CC.svs,Diagnostic Slide,af0a4cd9-9974-4cdf-ad08-4b3bf8476b78
08740d7f-5a5e-4dfa-bd48-7fbf228a7a28,02732da3-5144-4680-b6ee-cb8563125493,TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6.svs,Diagnostic Slide,b0be2ba0-faa1-4656-82f4-9c7201b73898
